StockCode,StockAbbre,IndustryClassification
0888.HK,路訊通,廣播
0889.HK,連達科技控股,電子元器件
0891.HK,利邦,男裝
0893.HK,中國鐵鈦,鋼鐵
0894.HK,萬裕科技,電子元器件
0895.HK,東江環保,環保工程
0896.HK,興勝創建,房屋建築
0897.HK,位元堂,保健品
0898.HK,萬事昌國際,地產投資
0899.HK,亞洲資源,地產投資
0900.HK,Aeon Credit,信貸
0901.HK,鷹力投資,UNKNOWN
0902.HK,華能國際電力股份,電力
0903.HK,冠捷科技,電腦設備
0904.HK,中綠,農產品
0905.HK,環球大通投資,UNKNOWN
0906.HK,中糧包裝,包裝印刷
0907.HK,高雅光學,眼鏡
0908.HK,珠海控股投資,酒店
0909.HK,中大國際,汽車零部件
0910.HK,中國三迪,地產投資
0911.HK,前海健康,醫藥商業
0912.HK,信佳國際,消費電子
0913.HK,合一投資,UNKNOWN
0914.HK,海螺水泥,水泥
0915.HK,道和環球,供應鏈管理
0916.HK,龍源電力,新能源
0918.HK,國能國際資產,服裝配套
0919.HK,現代美容,美容保健
0921.HK,海信科龍,家電
0922.HK,安賢園中國,其他服務
0923.HK,綜合環保集團,紙製品
0925.HK,北京建設,建築工程
0926.HK,碧生源,保健品
0927.HK,富士高實業,消費電子
0928.HK,蓮和醫療,健康管理
0929.HK,國際精密,電子元器件
0931.HK,中國天然氣,資產管理
0932.HK,順騰國際控股,保健品
0933.HK,光匯石油,油氣開採
0934.HK,中石化冠德,氣油設備與服務
0935.HK,龍翔集團,港口運輸
0936.HK,鵬程亞洲,重型機械
0938.HK,民生國際,房地產
0939.HK,建設銀行,銀行
0940.HK,中國動物保健品,動物用藥
0941.HK,中國移動,通信服務
0943.HK,意科控股,傢俱家居
0945.HK,宏利金融-S,UNKNOWN
0947.HK,摩比發展,通信設備
0948.HK,融達控股,通信設備
0950.HK,李氏大藥廠,藥品
0951.HK,超微動力,新能源
0952.HK,中國泛海金融,證券
0953.HK,邵氏兄弟控股,鞋類
0954.HK,常茂生物,食品添加劑
0956.HK,新天綠色能源,新能源
0958.HK,華能新能源,新能源
0959.HK,奧瑪仕國際,博彩
0960.HK,龍湖地產,房地產
0963.HK,華熙生物科技,生物醫藥
0966.HK,中國太平,保險
0967.HK,桑德國際,水務
0968.HK,信義光能,新能源
0969.HK,華聯國際,糖類
0970.HK,耀萊集團,汽車經銷
0973.HK,L'Occitane,化妝品
0974.HK,中國順客隆,超市及便利店
0975.HK,Mongol Mining,煤炭
0976.HK,齊合環保,銅
0978.HK,招商局置地,房地產
0979.HK,綠色能源科技集團,環保工程
0980.HK,聯華超市,超市及便利店
0981.HK,中芯國際,半導體
0982.HK,華金國際資本,包裝印刷
0983.HK,里安建業,房屋建築
0984.HK,永旺,超市及便利店
0985.HK,中譽集團,銅
0986.HK,中國環保能源,電商及互聯網
0987.HK,中國再生能源投資,新能源
0988.HK,絲路物流控股,煤炭
0989.HK,廣澤國際發展,房地產
0990.HK,榮暉國際,化工用品
0991.HK,大唐發電,電力
0992.HK,聯想集團,電腦設備
0993.HK,華融金控,證券
0994.HK,恒誠建築,房屋建築
0995.HK,安徽皖通高速公路,公路運輸
0996.HK,嘉年華國際,地產投資
0997.HK,普匯中金國際,地產投資
0998.HK,中信銀行,銀行
0999.HK,I.T,服裝
1000.HK,北青傳媒,出版
1001.HK,滬港聯合,鋼鐵
1002.HK,威鋮國際,電子元器件
1003.HK,歡喜傳媒,影視
1004.HK,中國智慧能源,資產管理
1005.HK,Matrix Holdings,玩具
1006.HK,長壽花食品,食用油
1007.HK,大慶乳業,乳製品
1008.HK,貴聯控股,包裝印刷
1009.HK,國際娛樂,地產投資
1010.HK,太睿國際控股,半導體
1011.HK,泰淩醫藥,藥品
1013.HK,偉俊集團控股,資訊化服務
1019.HK,康宏環球,保險
1020.HK,賽伯樂國際控股,電子元器件
1021.HK,麥達斯控股─S,UNKNOWN
1022.HK,飛魚科技,軟體發展
1023.HK,時代集團控股,服飾配件
1026.HK,環球實業科技,水務
1027.HK,中國集成控股,傢俱家居
1028.HK,千百度,鞋類
1029.HK,鐵貨,鋼鐵
1030.HK,新城發展控股,房地產
1031.HK,金利豐金融,證券
1033.HK,中石化油服,氣油設備與服務
1035.HK,BBI生命科學,生物醫藥
1036.HK,萬科置業海外,地產投資
1037.HK,雲智匯科技,電子元器件
1038.HK,長江基建集團,電力
1039.HK,鑫網易商,電商及互聯網
1041.HK,林達控股,資產管理
1043.HK,光宇國際集團科技,新能源
1044.HK,恒安國際,化妝品
1045.HK,亞太衛星,衛星及無線通訊
1046.HK,寰宇國際金融,影視
1047.HK,毅興行,化工用品
1048.HK,煜新控股,鋼鐵
1049.HK,時富投資,傢俱家居
1050.HK,嘉利國際,電腦設備
1051.HK,國際資源,貴金屬
1052.HK,越秀交通基建,公路運輸
1053.HK,重慶鋼鐵股份,鋼鐵
1055.HK,中國南方航空股份,航空運輸
1057.HK,浙江世寶,汽車零部件
1058.HK,粵海制革,服飾配件
1059.HK,看通集團,資訊化服務
1060.HK,阿裡影業,影視
1061.HK,億勝生物科技,生物醫藥
1062.HK,國開國際投資,UNKNOWN
1063.HK,新確科技,通信設備
1064.HK,中華國際,地產投資
1065.HK,天津創業環保股份,水務
1066.HK,威高股份,醫療器械
1068.HK,雨潤食品,肉製品
1069.HK,中國農林低碳,林業及木材
1070.HK,TCL多媒體,消費電子
1071.HK,華電國際電力股份,電力
1072.HK,東方電氣,環保工程
1073.HK,浩藍儂科,化肥
1075.HK,首都資訊,資訊化服務
1076.HK,博華太平洋,博彩
1079.HK,松景科技,電腦設備
1080.HK,勝利管道,其他金屬礦物
1082.HK,香港教育國際,教育
1083.HK,港華燃氣,燃氣
1085.HK,亨鑫科技,通信設備
1086.HK,好孩子國際,傢俱家居
1087.HK,威訊控股,通信設備
1088.HK,中國神華,煤炭
1089.HK,樂遊科技控股,遊戲
1090.HK,大明國際,鋼鐵
1091.HK,中信大錳,其他金屬礦物
1093.HK,石藥集團,藥品
1094.HK,中國公共採購,電商及互聯網
1096.HK,中能國際控股,鞋類
1097.HK,有線寬頻,有線電視
1098.HK,路勁,房地產
1099.HK,國藥控股,醫藥商業
1100.HK,飛達控股,服飾配件
1101.HK,華榮能源,綜合
1102.HK,環能國際,新能源
1103.HK,大生農業金融,油氣開採
1104.HK,亞太資源,鋼鐵
1105.HK,星島,出版
1106.HK,中國海景,包裝印刷
1107.HK,當代置業,房地產
1108.HK,洛陽玻璃股份,電子元器件
1109.HK,華潤置地,房地產
1110.HK,金活醫藥集團,醫藥商業
1111.HK,創興銀行,銀行
1112.HK,H&H國際控股,乳製品
1113.HK,長實集團,房地產
1114.HK,Brilliance Chi,汽車製造
1115.HK,西藏水資源,瓶裝水
1116.HK,Mayer Holdings,鋼鐵
1117.HK,現代牧業,乳製品
1118.HK,高力集團,鋼鐵
1120.HK,雅視光學,眼鏡
1121.HK,寶峰時尚,鞋類
1122.HK,慶鈴汽車股份,汽車製造
1123.HK,中港照相,消費電子
1124.HK,沿海家園,房地產
1125.HK,麗豐控股,地產投資
1126.HK,德林國際,玩具
1127.HK,獅子山集團,包裝印刷
1128.HK,永利澳門,博彩
1129.HK,中國水業集團,水務
1130.HK,中國環境資源,綜合
1131.HK,鴻寶資源,煤炭
1132.HK,橙天嘉禾,影視
1133.HK,哈爾濱電氣,環保工程
1135.HK,Asia Satellite,衛星及無線通訊
1136.HK,台泥國際集團,水泥
1137.HK,香港電視,電商及互聯網
1138.HK,中遠海能,港口運輸
1139.HK,華多利集團,汽車經銷
1140.HK,東英金融投資,UNKNOWN
1141.HK,民銀資本,證券
1142.HK,西伯利亞礦業,煤炭
1143.HK,華夏健康產業,消費電子
1145.HK,勇利投資,港口運輸
1146.HK,中國服飾控股,男裝
1148.HK,新晨動力,汽車零部件
1149.HK,中國安芯,資訊化服務
1150.HK,米蘭站,服飾配件
1151.HK,依利安達,電子元器件
1152.HK,新融宇集團,其他金屬礦物
1155.HK,星辰通信,通信設備
1157.HK,中聯重科,重型機械
1159.HK,星光文化,博彩
1160.HK,大唐投資國際,UNKNOWN
1161.HK,奧思集團,美容保健
1163.HK,德金資源,貴金屬
1164.HK,中廣核礦業,其他金屬礦物
1165.HK,順風清潔能源,新能源
1166.HK,星凱控股,電子元器件
1168.HK,百仕達控股,地產投資
1169.HK,海爾電器,家電
1170.HK,信星集團,鞋類
1171.HK,兗州煤業股份,煤炭
1172.HK,勤達集團國際,包裝印刷
1173.HK,威高國際,化妝品
1174.HK,太平洋恩利,漁業
1175.HK,鮮馳達控股,包裝食品
1176.HK,珠光控股,房地產
1177.HK,中國生物製藥,中藥
1178.HK,匯銀控股集團,化妝品
1180.HK,匯彩控股,博彩
1181.HK,唐宮中國,餐飲
1182.HK,勝龍國際,博彩
1184.HK,S.A.S. Dragon,電子元器件
1185.HK,中國航太萬源,環保工程
1186.HK,中國鐵建,建築工程
1187.HK,漢唐國際控股,電子元器件
1188.HK,正道集團,汽車製造
1189.HK,珀麗酒店,酒店
1190.HK,航標控股,傢俱家居
1191.HK,中國中石控股,房地產
1192.HK,泰山石化,氣油設備與服務
1193.HK,華潤燃氣,燃氣
1194.HK,麥盛資本,貴金屬
1195.HK,京維集團,房地產
1196.HK,偉祿集團,汽車零部件
1197.HK,中國恒石,新能源
1198.HK,皇朝家俬,傢俱家居
1199.HK,中遠海運港口,港口運輸
1200.HK,美聯集團,房地產服務
1201.HK,天臣控股,包裝印刷
1202.HK,成都普天電纜股份,通信設備
1203.HK,廣南,鋼鐵
1205.HK,中信資源,其他金屬礦物
1206.HK,同方泰德,資訊化服務
1207.HK,上置集團,房地產
1208.HK,五礦資源,其他金屬礦物
1210.HK,克莉絲汀,烘焙食品
1211.HK,比亞迪股份,汽車製造
1212.HK,利福國際,百貨商城
1213.HK,萬保剛集團,電子元器件
1215.HK,開源控股,酒店
1216.HK,中原銀行,銀行
1217.HK,中國創新投資,UNKNOWN
1218.HK,永義國際,房地產
1219.HK,天喔國際,酒
1220.HK,志道國際,鋁
1221.HK,Sino Hotels,酒店
1222.HK,Wang On Group,房地產
1223.HK,新灃集團,服裝配套
1224.HK,中渝置地,房地產
1225.HK,隆成金融,綜合
1226.HK,中國投融資,UNKNOWN
1227.HK,國盛投資,UNKNOWN
1228.HK,奇峰國際,煤炭
1229.HK,南南資源,煤炭
1230.HK,雅士利國際,乳製品
1231.HK,新礦資源,其他金屬礦物
1232.HK,金輪天地控股,房地產
1233.HK,時代中國控股,房地產
1234.HK,中國利郎,男裝
1235.HK,專業旅運,旅遊服務
1236.HK,國農控股,軟體發展
1237.HK,中科生物,傢俱家居
1238.HK,寶龍地產,房地產
1239.HK,Teamway Intl Gp,包裝印刷
1240.HK,青建國際,房地產
1241.HK,雙樺控股,汽車零部件
1243.HK,宏安地產,房地產
1245.HK,Niraku,博彩
1246.HK,保集健康,建築工程
1247.HK,米格國際控股,童裝
1249.HK,通力電子,消費電子
1250.HK,北控清潔能源集團,新能源
1251.HK,華油能源,氣油設備與服務
1252.HK,中國天瑞水泥,UNKNOWN
1253.HK,中國綠地博大綠澤,園林工程
1255.HK,港大零售,鞋類
1257.HK,中國光大綠色環保,新能源
1258.HK,中國有色礦業,銅
1259.HK,中國兒童護理,化妝品
1260.HK,皓天財經集團,傳媒廣告
1262.HK,蠟筆小新食品,休閒食品
1263.HK,栢能集團,電腦設備
1265.HK,天津津燃公用,燃氣
1266.HK,西王特鋼,鋼鐵
1268.HK,美東汽車,汽車經銷
1269.HK,首控集團,汽車零部件
1270.HK,朗廷-SS,UNKNOWN
1271.HK,佳明集團控股,房屋建築
1272.HK,大唐環境,環保工程
1273.HK,香港信貸,信貸
1277.HK,力量能源,煤炭
1278.HK,中國新城鎮,房地產
1280.HK,匯銀智慧社區,家電
1281.HK,隆基泰和智慧能源,建築材料
1282.HK,中國金洋,電腦設備
1285.HK,嘉士利集團,休閒食品
1288.HK,農業銀行,銀行
1289.HK,盛力達科技,電子元器件
1290.HK,中國匯融,信貸
1292.HK,長安民生物流,物流
1293.HK,廣匯寶信,汽車經銷
1296.HK,國電科環,環保工程
1297.HK,中國擎天軟體,資訊化服務
1298.HK,天美,醫療器械
1299.HK,友邦保險,保險
1300.HK,俊知集團,通信設備
1301.HK,德基科技控股,重型機械
1302.HK,先健科技,醫療器械
1303.HK,匯力資源,其他金屬礦物
1305.HK,偉志控股,電子元器件
1308.HK,海豐國際,港口運輸
1310.HK,香港寬頻,通信服務
1312.HK,同方康泰,水泥
1313.HK,華潤水泥控股,水泥
1314.HK,翠華控股,餐飲
1315.HK,允升國際,建築裝飾
1316.HK,耐世特,汽車零部件
1317.HK,楓葉教育,教育
1318.HK,格菱控股,環保工程
1319.HK,靄華押業信貸,信貸
1321.HK,中國新城市,房地產
1322.HK,創達科技控股,電子元器件
1323.HK,Newtree Group,綜合
1326.HK,天馬影視,影視
1327.HK,時間由你,鐘錶
1328.HK,精英國際,其他服務
1329.HK,首創钜大,房地產
1330.HK,綠色動力環保,新能源
1332.HK,中國透雲,包裝印刷
1333.HK,中國忠旺,鋁
1335.HK,順泰控股,包裝印刷
1336.HK,新華保險,保險
1337.HK,雷蛇,UNKNOWN
1338.HK,霸王集團,化妝品
1339.HK,中國人民保險集團,保險
1340.HK,惠生國際,肉製品
1341.HK,昊天國際建投,重型機械
1345.HK,中國先鋒醫藥,醫藥商業
1347.HK,華虹半導體,半導體
1348.HK,滉達富控股,玩具
1349.HK,復旦張江,生物醫藥
1353.HK,諾奇,男裝
1355.HK,朸浚國際,酒店
1357.HK,美圖公司,電商及互聯網
1358.HK,普華和順,醫療器械
1359.HK,中國信達,資產管理
1360.HK,Megaexpo Hldg,傳媒廣告
1361.HK,361度,鞋類
1362.HK,新龍移動,通信設備
1363.HK,中滔環保,水務
1365.HK,潤東汽車,汽車經銷
1366.HK,江南集團,電子元器件
1367.HK,廣州基金國際控股,服裝配套
1368.HK,特步國際,體育服裝
1369.HK,五洲國際,房地產
1370.HK,奧威控股,鋼鐵
1371.HK,華彩控股,彩票
1372.HK,比速科技,汽車零部件
1373.HK,國際家居零售,傢俱家居
1375.HK,中州證券,證券
1378.HK,中國宏橋,鋁
1380.HK,中國金石,其他金屬礦物
1381.HK,粵豐環保,新能源
1382.HK,互太紡織,紡織品
1383.HK,太陽城集團,房地產
1385.HK,上海復旦,半導體
1386.HK,國投集團控股,鞋類
1387.HK,人和商業,地產投資
1388.HK,安莉芳控股,內衣
1389.HK,美捷匯控股,葡萄酒
1393.HK,恒鼎實業,煤炭
1395.HK,強泰環保,水務
1396.HK,毅德國際,房地產
1397.HK,碧瑤綠色集團,其他服務
1398.HK,工商銀行,銀行
1399.HK,飛毛腿,新能源
1400.HK,宏太控股,紡織品
1415.HK,高偉電子,電子元器件
1417.HK,浦江中國,UNKNOWN
1418.HK,盛諾集團,傢俱家居
1419.HK,盈健醫療,醫院
1420.HK,川控股,房屋建築
1421.HK,工蓋有限公司,建築工程
1428.HK,耀才證券金融,證券
1430.HK,蘇創燃氣,燃氣
1431.HK,原生態牧業,乳製品
1432.HK,中國聖牧,乳製品
1439.HK,移動互聯,包裝印刷
1443.HK,富臨集團控股,餐飲
1446.HK,鴻福堂,飲料
1447.HK,新福港,房屋建築
1448.HK,福壽園,其他服務
1450.HK,世紀睿科,資訊化服務
1452.HK,迪諾斯環保,環保工程
1456.HK,國聯證券,證券
1458.HK,周黑鴨,休閒食品
1459.HK,巨匠建設,房屋建築
1460.HK,揚科集團,資訊化服務
1461.HK,魯證期貨,證券
1462.HK,金誠控股,房屋建築
1466.HK,錢唐控股,珠寶首飾
1468.HK,英裘控股,紡織品
1469.HK,結好金融,證券
1470.HK,富一國際控股,鐘錶
1475.HK,日清食品,UNKNOWN
1476.HK,恒投證券,證券
1478.HK,丘鈦科技,消費電子
1480.HK,恩達集團控股,電子元器件
1483.HK,譽宴集團,餐飲
1486.HK,思城控股,房屋建築
1488.HK,百福控股,服飾配件
1492.HK,中地乳業,乳製品
1495.HK,集一家居,建築材料
1496.HK,亞積邦租賃,建築工程
1498.HK,培力控股,中藥
1499.HK,前進控股集團,房屋建築
1500.HK,現恒建築,房屋建築
1508.HK,中國再保險,保險
1509.HK,和美醫療,醫院
1513.HK,麗珠醫藥,藥品
1515.HK,華潤鳳凰醫療,醫院
1518.HK,新世紀醫療,醫院
1520.HK,華信金融投資,服裝
1522.HK,京投交通科技,資訊化服務
1523.HK,珩灣科技,電腦設備
1526.HK,瑞慈醫療,醫院
1527.HK,天潔環境,環保工程
1528.HK,紅星美凱龍,地產投資
1530.HK,三生製藥,生物醫藥
1532.HK,中國派對文化,內衣
1533.HK,莊園牧場,乳製品
1536.HK,煜榮集團,電子元器件
1538.HK,中奧到家,物業管理
1539.HK,匯能集團,傢俱家居
1543.HK,中盈盛達融資擔保,信貸
1546.HK,德萊建業,UNKNOWN
1547.HK,IBI GROUP HLDGS,建築裝飾
1548.HK,金斯瑞生物科技,生物醫藥
1549.HK,永豐集團控股,港口運輸
1551.HK,廣州農商銀行,銀行
1552.HK,BHCC Holding,房屋建築
1555.HK,MI能源,油氣開採
1556.HK,建業建榮,房屋建築
1557.HK,劍虹集團控股,建築工程
1558.HK,東陽光藥,藥品
1559.HK,均安控股,建築工程
1560.HK,星星地產,房地產
1561.HK,萬輝化工,化工用品
1565.HK,成實外教育,教育
1566.HK,華夏動漫,動漫
1568.HK,承達集團,建築裝飾
1569.HK,民生教育,教育
1570.HK,偉業控股,房地產
1571.HK,信邦控股,汽車零部件
1572.HK,中國藝術金融,信貸
1573.HK,中國優質能源,煤炭
1575.HK,慕容控股,傢俱家居
1577.HK,匯鑫小貸,信貸
1578.HK,天津銀行,銀行
1579.HK,頤海國際,食品添加劑
1580.HK,大森控股,林業及木材
1581.HK,進升集團控股,房屋建築
1583.HK,親親食品,休閒食品
1585.HK,雅迪控股,汽車製造
1586.HK,中國力鴻,其他服務
1588.HK,暢捷通,軟體發展
1589.HK,中國物流資產,地產投資
1591.HK,汛和集團,房屋建築
1596.HK,翼辰實業,軌道交通裝備
1599.HK,城建設計,建築工程
1600.HK,天倫燃氣,燃氣
1606.HK,國銀租賃,融資租賃
1608.HK,偉能集團,電力
1609.HK,創建集團控股,房屋建築
1610.HK,中糧肉食,肉製品
1611.HK,桐成控股,電子元器件
1612.HK,永勝醫療,醫療器械
1613.HK,協同通信,通信設備
1616.HK,星宏傳媒,紡織品
1617.HK,南方通信,通信設備
1618.HK,中國中冶,建築工程
1619.HK,天合化工,化工用品
1622.HK,力高集團,房地產
1623.HK,海隆控股,氣油設備與服務
1626.HK,旅業國際,包裝印刷
1627.HK,安保工程式控制股,建築裝飾
1628.HK,禹洲地產,房地產
1629.HK,盟科控股,包裝印刷
1630.HK,建成控股,房屋建築
1631.HK,REF Holdings,包裝印刷
1632.HK,膳源控股,餐飲
1633.HK,上諭集團,房屋建築
1635.HK,大眾公用,燃氣
1636.HK,中國金屬利用,銅
1637.HK,順興集團控股,房屋建築
1638.HK,佳兆業集團,房地產
1639.HK,安捷利實業,電子元器件
1647.HK,SHIS Ltd,房屋建築
1649.HK,內蒙古能建,建築工程
1651.HK,津上機床中國,電子元器件
1655.HK,Okura Holdings,博彩
1656.HK,億仕登控股,電子元器件
1658.HK,郵儲銀行,銀行
1659.HK,海天能源,UNKNOWN
1660.HK,善樂國際,重型機械
1661.HK,智美體育,體育賽事
1662.HK,義合控股,建築工程
1663.HK,漢港控股,房地產
1665.HK,檳傑科達,UNKNOWN
1666.HK,同仁堂科技,中藥
1667.HK,進階發展,建築裝飾
1668.HK,華南城,地產投資
1669.HK,環球信貸集團,信貸
1673.HK,華章科技,電子元器件
1676.HK,中國升海食品,海產品
1678.HK,中創環球,傢俱家居
1679.HK,瑞斯康集團,電子元器件
1680.HK,澳門勵駿,博彩
1681.HK,康臣藥業,藥品
1682.HK,華隆金控,服裝
1683.HK,皇中國際,建築裝飾
1685.HK,博耳電力,環保工程
1686.HK,新意網集團,UNKNOWN
1689.HK,華禧控股,包裝印刷
1693.HK,璋利國際,房屋建築
1695.HK,椰豐集團,食品添加劑
1696.HK,Sisram Med,醫療器械
1697.HK,山東國信,UNKNOWN
1698.HK,博士蛙國際,童裝
1699.HK,普甜食品,肉製品
1700.HK,華地國際控股,百貨商城
1702.HK,東光化工,化工用品
1706.HK,雙運控股,UNKNOWN
1707.HK,致浩達控股,UNKNOWN
1708.HK,三寶科技,資訊化服務
1709.HK,雲裳衣,服裝配套
1710.HK,致豐工業電子,UNKNOWN
1711.HK,歐化,UNKNOWN
1717.HK,澳優,乳製品
1718.HK,宏基集團控股,建築工程
1719.HK,中國基建港口,UNKNOWN
1720.HK,普天通信集團,UNKNOWN
1722.HK,建鵬控股,UNKNOWN
1727.HK,河北建設,UNKNOWN
1728.HK,正通汽車,汽車經銷
1730.HK,Lhn,UNKNOWN
1733.HK,易大宗,煤炭
1738.HK,飛尚無煙煤,煤炭
1766.HK,中國中車,軌道交通裝備
1771.HK,新豐泰集團,汽車經銷
1776.HK,廣發證券,證券
1777.HK,花樣年控股,房地產
1778.HK,彩生活,物業管理
1786.HK,鐵建裝備,重型機械
1788.HK,國泰君安國際,證券
1789.HK,愛康醫療,UNKNOWN
1798.HK,大唐新能源,新能源
1799.HK,新特能源,新能源
1800.HK,中國交通建設,建築工程
1803.HK,北京體育文化,體育服務
1808.HK,企展控股,資訊化服務
1811.HK,中廣核新能源,新能源
1812.HK,晨鳴紙業,紙製品
1813.HK,合景泰富,房地產
1816.HK,中廣核電力,電力
1818.HK,招金礦業,貴金屬
1819.HK,富貴鳥,鞋類
1822.HK,弘達金融控股,消費電子
1823.HK,華昱高速,公路運輸
1826.HK,達飛控股,房屋建築
1828.HK,大昌行集團,汽車經銷
1829.HK,中國機械工程,建築工程
1830.HK,必瘦站,美容保健
1831.HK,十方控股,出版
1833.HK,銀泰商業,UNKNOWN
1836.HK,九興控股,鞋類
1838.HK,Chinaproperties,房地產
1848.HK,中國飛機租賃,融資租賃
1856.HK,依波路,鐘錶
1858.HK,春立醫療,醫療器械
1862.HK,景瑞控股,房地產
1863.HK,中國龍天集團,化工用品
1866.HK,中國心連心化肥,化肥
1868.HK,同方友友,傢俱家居
1878.HK,南戈壁-S,UNKNOWN
1880.HK,百麗國際,UNKNOWN
1882.HK,海天國際,電子元器件
1883.HK,中信國際電訊,通信服務
1884.HK,eprint集團,包裝印刷
1885.HK,中國優材,林業及木材
1886.HK,匯源果汁,果汁飲料
1888.HK,建滔積層板,電子元器件
1889.HK,三愛健康集團,藥品
1893.HK,中材股份,重型機械
1898.HK,中煤能源,煤炭
1899.HK,興達國際,汽車零部件
1900.HK,中國智慧交通,資訊化服務
1908.HK,建發國際集團,房地產
1910.HK,新秀麗,服飾配件
1913.HK,普拉達,眼鏡
1918.HK,融創中國,房地產
1919.HK,中遠海控,港口運輸
1928.HK,金沙中國有限公司,博彩
1929.HK,周大福,珠寶首飾
1932.HK,中漆集團,化工用品
1938.HK,珠江鋼管,氣油設備與服務
1958.HK,北京汽車,汽車製造
1962.HK,訓修實業,服飾配件
1963.HK,重慶銀行,銀行
1966.HK,中駿置業,房地產
1970.HK,IMAX China,影視
1972.HK,太古地產,地產投資
1975.HK,新興印刷,UNKNOWN
1979.HK,天寶集團,通信設備
1980.HK,天鴿互動,軟體發展
1982.HK,南旋控股,服裝
1985.HK,美高域,資訊化服務
1986.HK,彩客化學,化工用品
1988.HK,民生銀行,銀行
1989.HK,松齡護老集團,其他服務
1991.HK,大洋集團,電子元器件
1993.HK,雅仕維,傳媒廣告
1997.HK,九龍倉置業,UNKNOWN
1998.HK,飛克國際,鞋類
1999.HK,敏華控股,傢俱家居
2000.HK,晨訊科技,通信設備
2001.HK,新高教集團,教育
2002.HK,陽光紙業,紙製品
2005.HK,石四藥集團,藥品
2006.HK,錦江酒店,酒店
2007.HK,碧桂園,房地產
2008.HK,鳳凰衛視,有線電視
2009.HK,金隅集團,水泥
2010.HK,瑞年國際,保健品
2011.HK,KEE,服飾配件
2012.HK,陽光油砂,油氣開採
2014.HK,浩澤淨水,家電
2016.HK,浙商銀行,銀行
2017.HK,滄海控股,園林工程
2018.HK,瑞聲科技,電腦設備
2020.HK,安踏體育,鞋類
2022.HK,遊萊互動,UNKNOWN
2023.HK,中國綠島科技,傢俱家居
2025.HK,瑞豐動力,UNKNOWN
2028.HK,映美控股,電腦設備
2030.HK,卡賓,男裝
2031.HK,澳至尊,保健品
2033.HK,時計寶,鐘錶
2038.HK,富智康集團,通信設備
2039.HK,中集集團,港口運輸
2066.HK,盛京銀行,銀行
2068.HK,中鋁國際,建築工程
2078.HK,榮陽實業,鋁
2080.HK,奧克斯國際,餐飲
2083.HK,大自然家居,傢俱家居
2086.HK,海航科技投資,電腦設備
2088.HK,西王置業,房地產
2098.HK,卓爾集團,房地產
2099.HK,中國黃金國際,貴金屬
2100.HK,百奧家庭互動,軟體發展
2111.HK,超盈國際控股,紡織品
2112.HK,優庫資源,鋼鐵
2113.HK,東盈控股,房屋建築
2118.HK,天山發展控股,房地產
2120.HK,康寧醫院,醫院
2121.HK,一化控股,化工用品
2122.HK,凱知樂國際,UNKNOWN
2123.HK,金盾控股,紡織品
2128.HK,中國聯塑,管材
2133.HK,中國多金屬,其他金屬礦物
2136.HK,利福中國,百貨商城
2138.HK,香港醫思醫療集團,美容保健
2139.HK,甘肅銀行,UNKNOWN
2166.HK,芯智控股,電子元器件
2168.HK,盈德氣體,UNKNOWN
2178.HK,百勤油服,氣油設備與服務
2183.HK,三盛控股,地產投資
2186.HK,綠葉製藥,藥品
2188.HK,泰坦能源技術,環保工程
2193.HK,萬景控股,建築工程
2196.HK,複星醫藥,藥品
2198.HK,中國三江化工,化工用品
2199.HK,維珍妮,內衣
2200.HK,浩沙國際,體育服裝
2202.HK,萬科企業,房地產
2203.HK,泰邦集團,半導體
2208.HK,金風科技,環保工程
2211.HK,大健康國際,醫藥商業
2212.HK,高鵬礦業,其他金屬礦物
2213.HK,益華控股,百貨商城
2218.HK,安德利果汁,果汁飲料
2221.HK,創業集團控股,建築工程
2222.HK,雷士照明,傢俱家居
2223.HK,卡撒天嬌,傢俱家居
2225.HK,Kakiko Group,UNKNOWN
2226.HK,老恒和釀造,食品添加劑
2227.HK,守益控股,UNKNOWN
2228.HK,中國節能海東青,紡織品
2229.HK,長港敦信,紙製品
2232.HK,晶苑國際,UNKNOWN
2233.HK,西部水泥,水泥
2236.HK,惠生工程,氣油設備與服務
2238.HK,廣汽集團,汽車製造
2239.HK,國微技術,通信設備
2255.HK,海昌海洋公園,旅遊服務
2266.HK,黎氏企業,建築裝飾
2268.HK,優源控股,紙製品
2269.HK,藥明生物,生物醫藥
2277.HK,華融投資股份,房屋建築
2278.HK,海藍控股,房地產
2280.HK,慧聰集團,電商及互聯網
2281.HK,興瀘水務,水務
2282.HK,美高梅中國,博彩
2283.HK,東江集團控股,電子元器件
2286.HK,辰興發展,房地產
2288.HK,宏基資本,房地產
2289.HK,創美藥業,醫藥商業
2292.HK,晉安實業,UNKNOWN
2293.HK,百本醫護,其他
2298.HK,都市麗人,內衣
2299.HK,百宏實業,紡織品
2300.HK,澳科控股,包裝印刷
2302.HK,中核國際,其他金屬礦物
2303.HK,恒興黃金,貴金屬
2307.HK,錦興國際控股,紡織品
2308.HK,研祥智能,電腦設備
2309.HK,伯明罕體育,體育
2310.HK,申基國際,電子元器件
2312.HK,中國金融租賃,UNKNOWN
2313.HK,申洲國際,體育服裝
2314.HK,理文造紙,紙製品
2317.HK,味丹國際,食品添加劑
2318.HK,中國平安,保險
2319.HK,蒙牛乳業,乳製品
2320.HK,合豐集團,紙製品
2322.HK,仁瑞投資,化工用品
2323.HK,中國港橋,電子元器件
2324.HK,首都創投,UNKNOWN
